Heat Pipe Width,Heat Pipe Thickness,Heat Load (W),Heat Flux (W/cm2),Heat Pipe Diameter,Evaporator Length,Condenser Length,Adiabatic Length,Fill Ratio,Air Velocity,Ambient Temperature,Maximum Temperature,Effective Thermal Conductivity,Working Fluid_Acetone,Working Fluid_Ammonia,Working Fluid_Methanol,Working Fluid_Water,Heat Pipe Material_Aluminum,Heat Pipe Material_Copper,Wick Structure_Grooved,Wick Structure_Wire Mesh,Wick Material_Aluminum,Wick Material_Copper,Orientation_Anti-Gravity (Top Heat),Orientation_Horizontal,Orientation_Vertical (Bottom Heat),Cooling Method_Forced Convection,Cooling Method_Natural Convection,Is_Flat,Target_Thermal_Resistance,Dataset_Split
2.471698113,0.625,0.3131868132,0.7188288743,0.5,-0.6317321689,-0.5877034358,-0.01544401544,0.6596306069,0.2745098039,-0.09885931559,-0.0671641791,-0.5010521742,0,0,0,1,1,0,1,0,1,0,0,0,1,1,0,1,-0.03205089958,train
0.7405660377,0.75,0.0989010989,1.445734478,-0.5,-0.7074235808,-0.8589511754,-0.6138996139,-0.1372031662,-0.3921568627,0.9125475285,1.104477612,-0.5366791337,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,1,0.2810771561,train
1.764150943,0.875,0.5604395604,1.162039374,0.5,-0.6812227074,-0.7414104882,-0.8861003861,0.9656992084,-0.3921568627,0.7984790875,0.9029850746,-0.586489146,0,0,0,1,1,0,1,0,1,0,0,0,1,0,1,1,0.031772952,train
0.3820754717,1.458333333,0.221978022,0.5623422514,-0.5,-0.1397379913,0.2893309222,1.081081081,-0.5435356201,-0.3921568627,-0.5323193916,-0.4701492537,0.0821345505,0,0,0,1,1,0,1,0,1,0,0,1,0,0,1,1,0.01398257612,train
0.3820754717,1.458333333,-0.3615384615,0.002019182231,-0.5,-0.3871906841,0.01627486438,-0.3127413127,-0.944591029,-0.3921568627,0.1216730038,0.0671641791,-0.09385756032,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,1,-0.03487647375,train
0.5141509434,1.083333333,-0.5428571429,-0.3644623927,-0.5,-0.1310043668,-0.4213381555,-0.3996138996,-0.5435356201,0.431372549,-0.1140684411,-0.1940298507,-0.01375494138,0,1,0,0,0,1,1,0,0,1,0,0,1,1,0,1,-0.07641425128,train
0.3490566038,0.7083333333,0.7813186813,2.208985361,-1,-0.1426491994,0.7233273056,0.3359073359,0.05277044855,1.137254902,-0.7680608365,-0.6492537313,0.5795871814,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1,-0.01699522805,train
0.5141509434,1.083333333,-0.7483516484,-0.6219081272,-0.5,0.06113537118,-0.05786618445,-0.2277992278,-0.9498680739,-0.3921568627,0.2357414449,0.1343283582,0.2612480405,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,1,-0.07357640231,train
0,0,-0.4373626374,-0.1261988894,-0.5,-0.3668122271,0.1681735986,-0.2413127413,0.6596306069,-0.3921568627,-0.6159695817,-0.6641791045,-0.03837560489,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,0,-0.03770288146,train
1.396226415,0.7083333333,0.4373626374,1.048965169,0,-0.5473071325,-0.904159132,-0.6235521236,0.907651715,0.6666666667,0.09125475285,0.2089552239,-0.5268442867,0,0,0,1,1,0,1,0,1,0,0,0,1,1,0,1,0.04859657528,train
