Heat Load (W),Heat Flux (W/cmÂ²),Heat Pipe Length,Heat Pipe Diameter,Heat Pipe Width,Heat Pipe Thickness,Evaporator Length,Condenser Length,Adiabatic Length,Working Fluid,Heat Pipe Material,Wick Structure,Wick Material,Fill Ratio,Orientation,Cooling Method,Air Velocity,Ambient Temperature,Maximum Temperature,Average Temperature,Thermal Resistance,Effective Thermal Conductivity,Pressure Drop,Efficiency
43.2,3.77,225.8,10,46.2,1.7,36.5,80.8,108.5,Acetone,Aluminum,Grooved,Aluminum,55,Vertical (Bottom Heat),Forced Convection,1.3,31.4,31.9,31.6,0.0108,384245,163252035.2,
160.2,33.73,84.6,8,,,18.9,33.4,32.3,Water,Aluminum,Grooved,Aluminum,56,Vertical (Bottom Heat),Natural Convection,0,43.7,49.5,46.5,0.0363,82091,,96.2
127.7,19.93,199.2,4,4.8,2.6,51,98.4,49.8,Water,Aluminum,Grooved,Aluminum,54.7,Horizontal,Natural Convection,0,22.1,26.6,24.1,0.0352,642595,562219921,97.7
14.9,1.07,289.8,6,,,74.1,101.4,114.3,Methanol,Copper,Grooved,Copper,49.7,Horizontal,Natural Convection,0,31.7,31.8,31.7,0.0087,2249197,,
8.9,1.78,146.8,6,,,26.5,51.4,68.9,Water,Copper,Grooved,Copper,65.1,Vertical (Bottom Heat),Natural Convection,0,26.7,26.9,26.8,0.022,429586,,96.9
47,4.27,330.2,4,,,87.6,103.4,139.2,Water,Aluminum,Grooved,Aluminum,49.7,Horizontal,Natural Convection,0,35.8,37,36.5,0.0249,2080736,,
61.3,8.59,173.9,8,,,28.4,56.4,89.1,Water,Aluminum,Grooved,Aluminum,65.8,Horizontal,Natural Convection,0,28.3,29.7,28.9,0.0229,277496,,
23.7,0.98,266.6,10,71.4,1.1,76.6,86.3,103.7,Ammonia,Copper,Grooved,Copper,32.7,Horizontal,Forced Convection,2.5,38,38.1,38.1,0.0039,1511700,,
164.7,30.34,90.8,8,20.1,2.5,21.6,27.8,41.4,Acetone,Aluminum,Grooved,Aluminum,53.9,Vertical (Bottom Heat),Forced Convection,1.8,34.8,39.5,36.8,0.0287,105977,,
6.6,0.61,189.4,8,,,43,70.4,76,Acetone,Copper,Grooved,Copper,56.1,Horizontal,Forced Convection,2.2,41.4,41.5,41.5,0.008,716534,,
5.9,0.26,252.8,10,32.7,2.4,73.3,91.8,87.7,Water,Copper,Grooved,Copper,57.5,Horizontal,Natural Convection,0,44.1,44.1,44.1,0.0051,1330476,,96.4
48.1,4.95,226.4,6,,,51.6,89.6,85.2,Water,Copper,Grooved,Copper,34.4,Horizontal,Natural Convection,0,33.2,33.8,33.5,0.0117,1208397,,
71.2,9.94,98.9,10,,,22.8,47.1,29,Acetone,Copper,Grooved,Copper,39.2,Vertical (Bottom Heat),Forced Convection,1.6,21.3,22,21.5,0.0104,155354,104540331.1,
44.8,8.29,105.1,10,,,17.2,47.4,40.5,Water,Copper,Grooved,Copper,36.4,Horizontal,Natural Convection,0,22.9,23.6,23.2,0.0158,133495,,
46.9,6.22,255.6,4,5.7,2.2,60,86.5,109.1,Water,Aluminum,Grooved,Aluminum,69.8,Horizontal,Forced Convection,3.1,44.6,45.9,45.1,0.0269,1107305,,
152.3,10.36,221.5,8,,,58.5,68,95,Water,Aluminum,Grooved,Aluminum,60,Horizontal,Forced Convection,3,38.9,40.6,39.7,0.0113,687924,,
145.9,19.51,105.1,10,21.8,3.6,23.8,46.7,34.6,Water,Aluminum,Grooved,Aluminum,52.5,Vertical (Bottom Heat),Natural Convection,0,36.9,40,38.3,0.0212,104816,72014778.4,
50.4,7.07,129.8,10,20.1,3.9,22.7,57.1,50,Acetone,Aluminum,Grooved,Aluminum,40.9,Horizontal,Forced Convection,1.9,43.5,44.3,43.7,0.0167,128526,99326578.5,97.3
40.9,3.45,176.1,8,41.9,1.2,47.2,59.9,69,Methanol,Copper,Grooved,Copper,43.2,Vertical (Bottom Heat),Natural Convection,0,33,33.4,33.2,0.0103,726405,348112170.8,97.2
23,3.68,118.6,8,15.7,3.2,24.9,39.3,54.4,Acetone,Aluminum,Grooved,Aluminum,58.9,Horizontal,Natural Convection,0,30.1,30.8,30.5,0.0286,159874,60159410,95.9
8.4,0.93,179.3,6,8.1,3.5,47.9,73.3,58.1,Methanol,Copper,Grooved,Copper,30.6,Horizontal,Natural Convection,0,28.4,28.5,28.4,0.0129,854156,,
80,13.26,82.4,10,37.4,2.1,19.2,38,25.2,Water,Aluminum,Grooved,Aluminum,42.9,Vertical (Bottom Heat),Forced Convection,3.2,22.4,24,22.9,0.0206,65124,,
115,6.49,226.5,10,,,56.4,71.5,98.6,Methanol,Aluminum,Grooved,Aluminum,30.8,Vertical (Bottom Heat),Forced Convection,2.6,26.7,27.7,27.1,0.0086,577453,,95.8
151.7,29.99,100.8,10,,,16.1,39.5,45.2,Methanol,Aluminum,Grooved,Aluminum,53.9,Vertical (Bottom Heat),Natural Convection,0,43.8,48.4,45.8,0.0306,74028,528665896,96.1
135.7,18.68,136.7,8,15.2,3.3,28.9,58.9,48.9,Water,Aluminum,Grooved,Aluminum,34.5,Horizontal,Forced Convection,3.4,43.6,46.2,44.5,0.0188,199292,108903207.4,
133.2,14.29,142,8,21.9,2.3,37.1,67.1,37.8,Water,Aluminum,Grooved,Aluminum,41.9,Vertical (Bottom Heat),Forced Convection,2,30.4,32.5,31.2,0.0154,247834,,
14.7,0.69,300.6,8,,,85.3,108.6,106.7,Acetone,Copper,Grooved,Copper,32.8,Vertical (Bottom Heat),Natural Convection,0,31.9,32,32,0.0057,2181385,,
20.3,1.67,255.9,6,16.6,1.7,64.4,105.7,85.8,Methanol,Aluminum,Grooved,Aluminum,44.6,Vertical (Bottom Heat),Forced Convection,3.2,30.8,31.1,30.9,0.0128,977087,,
66.3,2.53,339.6,10,71.4,1.1,83.4,142.4,113.8,Acetone,Copper,Grooved,Copper,41.8,Vertical (Bottom Heat),Forced Convection,2.8,32.7,32.9,32.8,0.0032,2014473,,
133.4,15.03,172.4,6,7.9,3.6,47.1,57.7,67.6,Water,Copper,Grooved,Copper,57.3,Vertical (Bottom Heat),Natural Convection,0,23.4,25.4,24.5,0.015,849565,,
139.4,5.57,290.9,10,24.5,3.2,79.6,95.8,115.5,Water,Aluminum,Grooved,Aluminum,67.7,Horizontal,Natural Convection,0,22.7,23.8,23.3,0.0078,1019771,,
27.1,5.75,102.1,6,9.4,3,25,42.7,34.4,Methanol,Aluminum,Grooved,Aluminum,57.4,Horizontal,Forced Convection,3.5,23.2,24.1,23.5,0.0339,151522,199132918.4,
84.1,10.33,237.8,4,6.3,2,64.8,93.5,79.5,Water,Aluminum,Grooved,Aluminum,36.5,Vertical (Bottom Heat),Natural Convection,0,44.9,47.6,46.3,0.0316,1040476,,
148.1,8.24,192.3,10,,,57.2,67.3,67.8,Water,Copper,Grooved,Copper,64.8,Vertical (Bottom Heat),Forced Convection,2.4,30.3,31.1,30.7,0.0054,793099,150329403,
111,14.62,198.8,8,,,30.2,80,88.6,Water,Aluminum,Grooved,Aluminum,50.1,Horizontal,Forced Convection,3.4,44.5,46.3,45,0.0163,322481,143806732.3,95.4
68.1,18.5,128.6,4,,,29.3,49.2,50.1,Water,Copper,Grooved,Copper,32.9,Vertical (Bottom Heat),Forced Convection,3.6,38.1,40.2,38.9,0.0305,448039,,
82.8,21.12,94.7,6,15.7,1.8,20.8,32.7,41.2,Methanol,Aluminum,Grooved,Aluminum,47,Vertical (Bottom Heat),Natural Convection,0,44,48.2,46.1,0.0512,125511,,96
166.8,7.12,269.2,10,,,74.6,117.6,77,Acetone,Copper,Grooved,Copper,60.3,Vertical (Bottom Heat),Natural Convection,0,28,28.7,28.3,0.0043,1375872,,95.9
42.7,1.51,343.8,10,,,90.3,167.9,85.6,Ammonia,Aluminum,Grooved,Aluminum,34,Vertical (Bottom Heat),Natural Convection,0,35.7,36,35.9,0.0059,1221835,83563460.2,97.9
96.3,16.84,81.9,10,,,18.2,27.5,36.2,Water,Aluminum,Grooved,Aluminum,40.2,Anti-Gravity (Top Heat),Natural Convection,0,37.6,40.5,39.1,0.0302,67759,44727011.6,
24.6,4.53,101.4,10,23.8,3.3,17.3,39.9,44.2,Water,Aluminum,Grooved,Aluminum,48.3,Anti-Gravity (Top Heat),Natural Convection,0,34,34.7,34.3,0.0285,79403,,94.5
8.8,0.89,205.3,8,,,39.4,99.8,66.1,Water,Aluminum,Grooved,Aluminum,33,Horizontal,Forced Convection,2.2,28.7,28.8,28.7,0.0122,397264,,96.2
151,10.39,339.9,6,,,77.1,125.3,137.5,Water,Copper,Grooved,Copper,53.2,Vertical (Bottom Heat),Forced Convection,3.3,37.6,38.5,37.9,0.0062,2766389,486267648.1,97
51.9,5.8,163.8,8,38.7,1.3,35.6,80,48.2,Water,Copper,Grooved,Copper,59.5,Horizontal,Natural Convection,0,21.7,22.3,22,0.0111,474149,,97.1
40.7,1.9,287.9,8,35.9,1.4,85.4,141.9,60.6,Ammonia,Copper,Grooved,Copper,50.9,Vertical (Bottom Heat),Natural Convection,0,39.5,39.7,39.6,0.0049,1869364,,
24.2,1.75,189.7,8,13.2,3.8,55,61.7,73,Methanol,Copper,Grooved,Copper,69.4,Vertical (Bottom Heat),Forced Convection,1.9,34.6,34.8,34.7,0.0075,907228,,
113.9,12.64,171.4,6,7.1,4,47.8,65.4,58.2,Water,Copper,Grooved,Copper,61.6,Horizontal,Natural Convection,0,21.1,22.7,22,0.0137,824823,,95.2
157.7,9.84,204.1,10,22.4,3.5,51,66.4,86.7,Water,Aluminum,Grooved,Aluminum,49.4,Horizontal,Forced Convection,2.9,24.3,25.8,25,0.0095,467526,,96.2
34.2,3.42,253.9,6,12.3,2.3,53,110,90.9,Methanol,Aluminum,Grooved,Aluminum,51.8,Vertical (Bottom Heat),Forced Convection,3.3,35.2,35.7,35.4,0.0149,811417,601685679,
27.2,1.43,276.1,8,,,75.5,118.6,82,Methanol,Copper,Grooved,Copper,56,Horizontal,Forced Convection,1.4,33.2,33.3,33.2,0.0046,1697638,,
